grid_id,acronym
grid.7490.a,HZI
grid.7492.8,UFZ
grid.7497.d,DKFZ
grid.7520.0,AAU
grid.7547.1,VKI
grid.7551.6,DLR
grid.7555.2,DFS
grid.7563.7,UNIMIB
grid.7597.c,RIKEN 
grid.7605.4,UNITO
grid.7621.2,UB
grid.7628.b,OBU
grid.7632.0,UnB
grid.7692.a,UMC
grid.7719.8,CNIO
grid.7737.4,UH
grid.7759.c,UCA
grid.7778.f,UNICAL
grid.7787.f,BUW
grid.7821.c,UC
grid.7831.d,UCP
grid.7836.a,UCT
grid.7849.2,UCBL
grid.7861.8,ECN
grid.7870.8,PUC
grid.7870.8,UC
grid.7872.a,UCC
grid.7886.1,UCD
grid.7892.4,KIT
grid.7922.e,CU
grid.7942.8,UCL
grid.7943.9,UCLan
grid.7973.a,POLIS
grid.8042.e,UNIMC
grid.8048.4,UCLM
grid.8049.5,UCN
grid.8065.b,UoC
grid.8127.c,UOC
grid.8142.f,UCSC
grid.8148.5,LNU
grid.8170.e,PUCV
grid.8171.f,UCV
grid.8183.2,CIRAD
grid.8191.1,UCAD
grid.8193.3,UDSM
grid.8198.8,DU
grid.8207.d,TLÜ
grid.8217.c,TCD
grid.8269.5,UVG
grid.8273.e,UEA
grid.8295.6,UEM
grid.8348.7,JR
grid.8385.6,FZJ
grid.8390.2,UEVE
grid.8395.7,UFC
grid.8399.b,UFBA
grid.8430.f,UFMG
grid.8440.8,IWES
grid.8453.a,INERIS
grid.8465.f,DIW Berlin
grid.8505.8,UW
grid.8515.9,CHUV
grid.8532.c,UFRGS
grid.8536.8,UFRJ
grid.8563.8,CRIC
grid.8570.a,UGM
grid.8578.2,DJUG
grid.8581.4,IRTA
grid.8585.0,UG
grid.8591.5,UNIGE
grid.8653.8,KNMI
grid.8654.f,BIRA
grid.8654.f,IASB
grid.8657.c,FMI
grid.8658.3,CMA
grid.8663.b,NOA
grid.8664.c,JLU
grid.8668.0,IWT
grid.8669.1,EFI
grid.8682.4,NERC
grid.8767.e,VUB
grid.8784.3,TI
grid.8784.3,STI
grid.8842.6,BTU
grid.8905.4,UCTM
grid.8953.7,SCK
grid.8953.7,CEN
grid.8954.0,UL
grid.8974.2,UWC
grid.8982.b,UNIPV
grid.8991.9,LSHTM
grid.9001.8,MSM
grid.9018.0,MLU
grid.9024.f,UNISI
grid.9026.d,UH
grid.9067.8,GRNET
grid.9132.9,CERN
grid.9156.b,UHA
grid.9227.e,CAS
grid.9285.6,INETI
grid.9344.a,NUI
grid.9370.d,ENAIRE
grid.9424.b,VGTU
grid.9427.8,BNTU
grid.9486.3,UNAM
grid.9489.c,IPGP
grid.9499.d,UNLP
grid.9563.9,UIB
grid.9580.4,RU
grid.9581.5,UI
grid.9612.c,UJI
grid.9613.d,FSU
grid.9619.7,HUJI
grid.9621.c,UJF
grid.9657.d,UCBM
grid.9668.1,UEF
grid.9670.8,UJ
grid.9679.1,PTE
grid.9689.e,UKAEA
grid.9762.a,KU
grid.9764.c,CAU
grid.9786.0,KKU
grid.9829.a,KNUST
grid.9845.0,LU
grid.9851.5,UNIL
grid.9905.5,ETU
grid.9922.0,AGH UST
grid.9925.7,NUL
grid.9970.7,JKU
grid.9976.1,IST
grid.9982.a,SMU 
grid.9984.c,HSE
grid.10041.34,ULL
grid.10049.3c,UL
grid.10090.38,IUCC
grid.10090.38,MACHBA
grid.10097.3f,BSC
grid.10214.36,MKU
grid.10215.37,UMA
grid.10223.32,MU
grid.10267.32,MU
grid.10291.3b,UMG
grid.10306.34,WTSI
grid.10347.31,UM
grid.10359.3e,BAU
grid.10373.36,UNIMOL
grid.10383.39,UNIPR
grid.10403.36,IDIBAPS
grid.10412.36,UMI
grid.10417.33,RUNMC
grid.10419.3d,LUMC
grid.10421.36,UMSA
grid.10423.34,MHH
grid.10438.3e,UNIME
grid.10447.36,FCRB
grid.10491.3d,UMSS
grid.10516.33,ITU
grid.10570.33,IAI
grid.10594.39,UPEMLV
grid.10598.35,UNAM
grid.10599.34,UNALM
grid.10601.36,UNAH 
grid.10604.33,UON
grid.10689.36,UNAL
grid.10690.3e,UNICEN
grid.10692.3c,UNC
grid.10698.36,UNC
grid.10702.34,UNED
grid.10706.30,JNU
grid.10729.3d,UNA
grid.10757.34,UNN
grid.10772.33,NOVA
grid.10784.3a,CUHK
grid.10798.37,UNL
grid.10800.39,UNMSM
grid.10814.3c,UNR
grid.10818.30,NUR
grid.10818.30,UR
grid.10821.3a,UNSa
grid.10824.3f,OAU
grid.10825.3e,SDU
grid.10837.3d,OU
grid.10894.34,AWI
grid.10914.3d,NIOZ
grid.10917.3e,IMR
grid.10919.30,UiT
grid.10939.32,UT
grid.10985.35,AUA
grid.11028.3a,UPA
grid.11081.39,TI
grid.11100.31,UPCH
grid.11134.36,UPD
grid.11135.37,PKU
grid.11142.37,UPM
grid.11159.3d,UPM
grid.11162.35,UPJV
grid.11173.35,PU
grid.11176.30,UPLB
grid.11184.3d,BPRC
grid.11348.3f,UP
grid.11375.31,IJS
grid.11450.31,UniSS
grid.11451.30,MUG
grid.11469.3b,FBK
grid.11477.34,UPT
grid.11478.3b,CRG
grid.11480.3c,UPV
grid.11480.3c,EHU
grid.11485.39,CRUK
grid.11486.3a,VIB
grid.11500.35,HAW
grid.11503.36,KIT
grid.11505.30,ITM
grid.11553.33,UNPAD
grid.11560.33,UNQ
grid.11567.34,UNIRC
grid.11586.3b,CMC
grid.11667.37,URCA
grid.11702.35,RUC
grid.11744.37,IBV
grid.11780.3f,UNISA
grid.11793.3d,USAC
grid.11794.3a,USC
grid.11866.38,UŚ
grid.11875.3a,USM
grid.11887.37,SUA
grid.11899.38,USP
grid.11906.3f,UPMF
grid.11956.3a,SU
grid.12039.39,ISIS
grid.12104.36,UNISWA
grid.12112.31,IFE
grid.12112.31,IFA
grid.12136.37,TAU
grid.12148.3e,UTFSM
grid.12284.3d,DUTH
grid.12295.3d,TiU
grid.12306.36,UT
grid.12332.31,LUT
grid.12337.34,DB
grid.12337.34,DBAG
grid.12341.35,UTAD
grid.12361.37,NTU
grid.12362.34,UWTSD
grid.12364.32,UL
grid.12370.37,ISQ
grid.12380.38,VU
grid.12525.31,UNT
grid.12527.33,THU
grid.12574.35,UTM
grid.12597.38,UNITUS
grid.12611.35,UTLN
